id,mot,contains,restant
3712,lanuejols,2,22472
3713,lanusse,1,22471
3714,attignat,2,22469
3715,pougny,2,22467
3716,attigny,2,22465
3717,huisseau,0,22465
3718,attilly,1,22464
3719,louppy,0,22464
3720,peray,1,22463
3721,cresse,2,22461
3722,mael,0,22461
3723,parthenay,1,22460
3724,cussey,0,22460
3725,antras,2,22458
3726,percey,2,22456
3727,magnicourt,1,22455
3728,perdoux,0,22455
3729,aubeterre,1,22454
3730,vichel,1,22453
3731,parisot,2,22451
3732,vezouze,0,22451
3733,cuzy,2,22449
3734,dye,1,22448
3735,peret,1,22447
3736,ennery,2,22445
3737,lachalm,0,22445
3738,larchamp,2,22443
3739,larche,2,22441
3740,parigne,1,22440
3741,lacave,2,22438
3742,lacaussade,1,22437
3743,vezelay,1,22436
3744,veze,2,22434
3745,mailhac,1,22433
3746,vezac,2,22431
3747,periers,2,22429
3748,creac,0,22429
3749,durolle,0,22429
3750,creil,2,22427
3751,villiersbois,2,22425
3752,poissy,1,22424
3753,poitiers,2,22422
3754,aubiac,2,22420
3755,antigny,2,22418
3756,vibrac,2,22416
3757,cuves,2,22414
3758,antheuil,1,22413
3759,villevieille,1,22412
3760,parnay,2,22410
3761,viaur,0,22410
3762,crennes,0,22410
3763,anse,1,22409
3764,lacourt,1,22408
3765,parnac,2,22406
3766,lacoste,2,22404
3767,aubinbois,0,22404
3768,laquenexy,1,22403
3769,viam,2,22401
3770,cuzieu,2,22399
3771,louhans,1,22398
3772,douai,1,22397
3773,marceau,0,22397
3774,arget,1,22396
3775,dorat,2,22394
3776,vallieres,2,22392
3777,becherel,1,22391
3778,albiac,2,22389
3779,quezac,2,22387
3780,vadans,2,22385
3781,warlus,2,22383
3782,marollesbrie,2,22381
3783,westhouse,1,22380
3784,liphard,0,22380
3785,quay,0,22380
3786,yvon,1,22379
3787,orchies,1,22378
3788,quiberon,1,22377
3789,etrepilly,2,22375
3790,leugny,2,22373
3791,yvrac,1,22372
3792,pierreifs,0,22372
3793,quartier,2,22370
3794,orchamps,1,22369
3795,corbie,1,22368
3796,acheres,2,22366
3797,union,2,22364
3798,donzac,2,22362
3799,dinan,1,22361
3800,pierrevillers,1,22360
3801,beaurain,1,22359
3802,agne,0,22359
3803,yvetot,1,22358
3804,marsdesert,0,22358
3805,esteve,0,22358
3806,etchapelle,0,22358
3807,vadencourt,2,22356
3808,ossun,1,22355
3809,lentillac,1,22354
3810,jarnac,1,22353
3811,orcival,1,22352
3812,maron,2,22350
3813,ost,1,22349
3814,combray,2,22347
3815,jarnioux,1,22346
3816,combres,1,22345
3817,valerien,0,22345
3818,barsac,2,22343
3819,beauzire,0,22343
3820,bars,2,22341
3821,corme,1,22340
3822,bec,1,22339
3823,cormeilles,2,22337
3824,albi,2,22335
3825,trugny,2,22333
3826,albin,0,22333
3827,inard,1,22332
3828,pissy,2,22330
3829,py,1,22329
3830,jaunac,2,22327
3831,puzieux,2,22325
3832,abzac,2,22323
3833,trucy,1,22322
3834,marsilly,2,22320
3835,piegut,2,22318
3836,estables,2,22316
3837,barly,2,22314
3838,vacquerie,1,22313
3839,isse,2,22311
3840,yenne,1,22310
3841,hyevre,0,22310
3842,leval,2,22308
3843,quiers,1,22307
3844,bedeille,2,22305
3845,issards,1,22304
3846,marmande,1,22303
3847,aixprovence,2,22301
3848,aillant,0,22301
3849,pierrefiche,2,22299
3850,trouville,1,22298
3851,racan,0,22298
3852,orgeval,2,22296
3853,desert,1,22295
3854,beaumais,2,22293
3855,vacquieres,1,22292
3856,leulinghem,1,22291
3857,valentin,0,22291
3858,contamine,1,22290
3859,uhart,0,22290
3860,becourt,2,22288
3861,valmont,2,22286
3862,yerre,0,22286
3863,barousse,1,22285
3864,leme,2,22283
3865,baye,2,22281
3866,barneville,1,22280
3867,raches,1,22279
3868,constant,0,22279
3869,wingen,1,22278
3870,estaing,2,22276
3871,warcq,2,22274
3872,rachecourt,0,22274
3873,becquigny,2,22272
3874,alby,0,22272
3875,lias,2,22270
3876,liffre,1,22269
3877,bavay,1,22268
3878,issoire,1,22267
3879,ige,2,22265
3880,origne,2,22263
3881,corcelles,1,22262
3882,contre,2,22260
3883,derriere,0,22260
3884,bassens,2,22258
3885,martintertre,0,22258
3886,lesperon,2,22256
3887,oreuse,0,22256
3888,valla,0,22256
3889,dignac,1,22255
3890,lieusaint,2,22253
3891,plan,2,22251
3892,ivergny,1,22250
3893,wattrelos,2,22248
3894,adam,0,22248
3895,bassee,2,22246
3896,willer,1,22245
3897,james,1,22244
3898,cordes,1,22243
3899,limeux,2,22241
3900,orens,0,22241
3901,lindre,0,22241
3902,quevilly,0,22241
3903,valajol,1,22240
3904,plaisir,1,22239
3905,aizier,1,22238
3906,beaurieux,2,22236
3907,lestra,0,22236
3908,plainville,2,22234
3909,contres,2,22232
3910,etampes,1,22231
3911,marsais,1,22230
3912,yrieix,0,22230
3913,ainvelle,2,22228
3914,pian,0,22228
3915,tursan,0,22228
3916,baule,2,22226
3917,wavrechain,0,22226
3918,basses,1,22225
3919,jalle,0,22225
3920,adelans,2,22223
3921,lestre,2,22221
3922,jallieu,0,22221
3923,wavrans,0,22221
3924,linotte,0,22221
3925,estivareilles,2,22219
3926,derrien,0,22219
3927,commelle,1,22218
3928,comte,1,22217
3929,donjeux,2,22215
3930,bassac,1,22214
3931,rambaud,1,22213
3932,liez,2,22211
3933,albe,1,22210
3934,come,0,22210
3935,agnant,0,22210
3936,bauzile,0,22210
3937,janson,0,22210
3938,lent,2,22208
3939,beauville,2,22206
3940,bauge,1,22205
3941,lesigny,2,22203
3942,issoudun,2,22201
3943,valette,2,22199
3944,jans,1,22198
3945,janvry,2,22196
3946,contest,1,22195
3947,marquay,2,22193
3948,quemigny,1,22192
3949,martinvieux,0,22192
3950,orsans,2,22190
3951,jardin,2,22188
3952,beaumesnil,2,22186
3953,contes,2,22184
3954,corlay,1,22183
3955,albas,2,22181
3956,acqueville,2,22179
3957,planay,2,22177
3958,marsas,2,22175
3959,plabennec,2,22173
3960,origny,1,22172
3961,istres,1,22171
3962,osse,2,22169
3963,pietro,0,22169
3964,cordon,2,22167
3965,legervignes,0,22167
3966,piedboeuf,0,22167
3967,acy,2,22165
3968,baslieux,1,22164
3969,ubaye,1,22163
3970,tulle,1,22162
3971,lievin,1,22161
3972,die,1,22160
3973,raissac,1,22159
3974,philippe,0,22159
3975,domecy,1,22158
3976,philibert,0,22158
3977,airaines,1,22157
3978,igney,2,22155
3979,lettree,0,22155
3980,corent,1,22154
3981,wintzenheim,1,22153
3982,puyvelay,2,22151
3983,lescure,2,22149
3984,aignes,1,22148
3985,plagne,2,22146
3986,domqueur,1,22145
3987,mariemont,0,22145
3988,beine,1,22144
3989,ligoure,0,22144
3990,wailly,2,22142
3991,allas,0,22142
3992,zorn,0,22142
3993,compiegne,2,22140
3994,ormesson,1,22139
3995,ranes,1,22138
3996,humieres,1,22137
3997,denat,1,22136
3998,barangeon,0,22136
3999,baudreville,2,22134
4000,denain,1,22133
4001,airoux,1,22132
4002,etiennebois,0,22132
4003,varenne,1,22131
4004,bazoilles,0,22131
4005,bazoque,2,22129
4006,banyuls,0,22129
4007,etival,1,22128
4008,trojan,0,22128
4009,martincampagne,0,22128
4010,airon,0,22128
4011,etables,1,22127
4012,orbais,0,22127
4013,wirquin,1,22126
4014,barbery,2,22124
4015,quirin,0,22124
4016,lezignan,1,22123
4017,aigne,2,22121
4018,quincampoix,2,22119
4019,orval,2,22117
4020,lechelle,2,22115
4021,masevaux,1,22114
4022,lepanges,0,22114
4023,etvalbithaine,0,22114
4024,urtiere,2,22112
4025,bazincourt,0,22112
4026,beauchene,2,22110
4027,tronchet,2,22108
4028,dierrey,0,22108
4029,rancon,1,22107
4030,uchon,1,22106
4031,esquay,0,22106
4032,esprit,0,22106
4033,quincerot,2,22104
4034,martinfouilloux,0,22104
4035,pierrebois,0,22104
4036,colomby,1,22103
4037,layrisse,1,22102
4038,quinsac,2,22100
4039,lepuix,0,22100
4040,abbans,0,22100
4041,lixheim,1,22099
4042,aigle,1,22098
4043,demie,2,22096
4044,abaucourt,1,22095
4045,abancourt,2,22093
4046,allerey,1,22092
4047,dossenheim,0,22092
4048,pionsat,1,22091
4049,varneville,1,22090
4050,martinplaine,0,22090
4051,alleuds,2,22088
4052,varsberg,1,22087
4053,layrac,1,22086
4054,pilote,1,22085
4055,vulaines,1,22084
4056,margon,2,22082
4057,lere,1,22081
4058,valbert,0,22081
4059,confort,2,22079
4060,bazouges,0,22079
4061,ussy,1,22078
4062,aiglun,2,22076
4063,dieppe,1,22075
4064,aisey,0,22075
4065,quingey,1,22074
4066,abbeville,1,22073
4067,abbecourt,2,22071
4068,livrade,0,22071
4069,livre,1,22070
4070,vareze,0,22070
4071,margueron,1,22069
4072,usage,0,22069
4073,pierrecourt,2,22067
4074,martinet,2,22065
4075,varize,2,22063
4076,belesta,2,22061
4077,waast,0,22061
4078,cosne,1,22060
4079,trizay,1,22059
4080,massas,0,22059
4081,allemant,2,22057
4082,baudrecourt,2,22055
4083,allemont,2,22053
4084,beaucaire,2,22051
4085,colombieres,1,22050
4086,condes,2,22048
4087,bazile,0,22048
4088,ligueux,2,22046
4089,lede,0,22046
4090,pierrerue,2,22044
4091,bazancourt,2,22042
4092,marçay,2,22040
4093,essey,1,22039
4094,cornille,2,22037
4095,conques,1,22036
4096,rabier,0,22036
4097,esserval,0,22036
4098,orvilliers,1,22035
4099,isolaccio,1,22034
4100,leves,1,22033
4101,agnin,1,22032
4102,eterpigny,2,22030
4103,urcisse,0,22030
4104,essertenne,1,22029
4105,domfront,2,22027
4106,wallers,1,22026
4107,essert,2,22024
4108,yeres,0,22024
4109,marin,2,22022
4110,quesnel,1,22021
4111,bazeilles,1,22020
4112,waltenheim,1,22019
4113,valsonne,1,22018
4114,oudeuil,1,22017
4115,batilly,2,22015
4116,bayonville,1,22014
4117,diou,2,22012
4118,ales,2,22010
4119,desertines,2,22008
4120,combes,2,22006
4121,vals,2,22004
4122,plans,2,22002
4123,dombasle,0,22002
4124,corbere,2,22000
4125,vabres,2,21998
4126,wamin,1,21997
4127,ablon,1,21996
4128,orival,2,21994
4129,valenciennes,1,21993
4130,piennes,2,21991
4131,aff,0,21991
4132,puyravault,2,21989
4133,abos,2,21987
4134,martinpuy,0,21987
4135,baton,0,21987
4136,levens,2,21985
4137,aigueperse,2,21983
4138,pins,2,21981
4139,lecussan,1,21980
4140,esse,2,21978
4141,isles,1,21977
4142,deneze,0,21977
4143,baubigny,2,21975
4144,lescheres,2,21973
4145,barby,2,21971
4146,mascaras,2,21969
4147,rahon,2,21967
4148,aigny,1,21966
4149,quissac,2,21964
4150,uzel,2,21962
4151,tronville,1,21961
4152,dit,1,21960
4153,barboure,0,21960
4154,allaines,2,21958
4155,tronquay,2,21956
4156,lempire,2,21954
4157,aisy,0,21954
4158,allainville,2,21952
4159,barbezieux,0,21952
4160,beaune,1,21951
4161,barbey,2,21949
4162,levoncourt,2,21947
4163,lempdes,1,21946
4164,vanneau,1,21945
4165,ligne,2,21943
4166,vandieres,2,21941
4167,ugny,1,21940
4168,quillebeuf,0,21940
4169,aigrefeuille,1,21939
4170,pierreriviere,0,21939
4171,orveau,2,21937
4172,orlu,2,21935
4173,corps,2,21933
4174,quilly,2,21931
4175,trosly,0,21931
4176,esves,0,21931
4177,orly,1,21930
4178,alix,1,21929
4179,jeanblanc,0,21929
4180,dissay,1,21928
4181,dienne,2,21926
4182,aigre,1,21925
4183,uzer,2,21923
4184,alaincourt,2,21921
4185,bard,1,21920
4186,neffies,1,21919
4187,pierrecolombier,0,21919
4188,perassay,1,21918
4189,peravycolombe,0,21918
4190,pierrecorps,0,21918
4191,percee,0,21918
4192,pierrecormeilles,0,21918
4193,negrepelisse,1,21917
4194,mouscardes,1,21916
4195,nefiach,1,21915
4196,neffes,1,21914
4197,perceneige,1,21913
4198,pierrechastel,0,21913
4199,moussages,1,21912
4200,pierrebu,0,21912
4201,pereuilh,0,21912
4202,neauphlechateau,1,21911
4203,pereuil,1,21910
4204,pierrebruyere,0,21910
4205,moustey,1,21909
4206,neauphlette,1,21908
4207,pereretz,0,21908
4208,pierrebuzet,0,21908
4209,pereuse,0,21908
4210,pierrecernieres,0,21908
4211,pierrechamp,0,21908
4212,perennes,1,21907
4213,neauphlevieux,1,21906
4214,neaux,1,21905
4215,perenchies,1,21904
4216,perelli,1,21903
4217,pierrebressieux,0,21903
4218,moustierfagne,1,21902
4219,pierrecole,0,21902
4220,neant,0,21902
4221,perignatsarlieve,1,21901
4222,moustrou,1,21900
4223,perignat,0,21900
4224,ne,0,21900
4225,pierreboeuf,0,21900
4226,neac,1,21899
4227,periersauge,1,21898
4228,pierrebosguerard,0,21898
4229,pereyres,1,21897
4230,pierrebost,0,21897
4231,pierrebourlhonne,0,21897
4232,pierrebresse,1,21896
4233,perier,1,21895
4234,neau,1,21894
4235,peri,1,21893
4236,pergain,1,21892
4237,pierrechamps,0,21892
4238,nebian,1,21891
4239,mousteru,1,21890
4240,pierrechignac,0,21890
4241,moussel,0,21890
4242,mousseauxbray,1,21889
4243,perdon,0,21889
4244,nedonchel,1,21888
4245,percyauge,1,21887
4246,neewiller,0,21887
4247,pierrecheville,0,21887
4248,mousse,1,21886
4249,pereille,1,21885
4250,pierreclairac,0,21885
4251,perchede,1,21884
4252,nef,0,21884
4253,perchay,1,21883
4254,pierreclos,1,21882
4255,perceygrand,1,21881
4256,moussan,1,21880
4257,moussieres,1,21879
4258,nedon,1,21878
4259,pierrecherennes,0,21878
4260,mousson,1,21877
4261,moustajon,1,21876
4262,nebias,1,21875
4263,moussyvieux,1,21874
4264,nebing,1,21873
4265,moussyneuf,1,21872
4266,nebouzat,1,21871
4267,pierrechandieu,0,21871
4268,pierrechartreuse,0,21871
4269,perdreauville,1,21870
4270,nectaire,0,21870
4271,moussoulens,1,21869
4272,necy,1,21868
4273,nedde,1,21867
4274,moussonvilliers,1,21866
4275,pierrechemin,0,21866
4276,peran,0,21866
4277,penin,1,21865
4278,negreville,1,21864
4279,neslesmontagne,1,21863
4280,pegairollesl,1,21862
4281,moumour,1,21861
4282,pegairollesbueges,1,21860
4283,moumoulous,1,21859
4284,pee,0,21859
4285,moult,1,21858
4286,moulotte,1,21857
4287,pierrelaye,1,21856
4288,pedernec,1,21855
4289,neslette,1,21854
4290,pecy,1,21853
4291,pecqueuse,1,21852
4292,nesmy,1,21851
4293,pecquencourt,1,21850
4294,pecq,1,21849
4295,moulons,0,21849
4296,pecorade,1,21848
4297,nesploy,1,21847
4298,nespouls,1,21846
4299,moulle,1,21845
4300,pierreloges,0,21845
4301,pechereau,1,21844
4302,nessa,1,21843
4303,nestalas,0,21843
4304,pierrelongue,1,21842
4305,neslesvallee,1,21841
4306,pegayrols,0,21841
4307,negron,1,21840
4308,pegomas,1,21839
4309,pierrela,0,21839
4310,neschers,1,21838
4311,pierrelages,0,21838
4312,pierrelamps,0,21838
4313,pel,0,21838
4314,peisey,1,21837
4315,nescus,1,21836
4316,mourens,1,21835
4317,peipin,1,21834
4318,peintures,1,21833
4319,pierrelandes,0,21833
4320,pierrelatte,1,21832
4321,peintre,1,21831
4322,peillonnex,1,21830
4323,peillon,1,21829
4324,peille,1,21828
4325,mourede,1,21827
4326,peillac,1,21826
4327,peigney,1,21825
4328,neslehopital,1,21824
4329,mounes,1,21823
4330,neslerepons,1,21822
4331,peguilhan,1,21821
4332,neslereposte,1,21820
4333,pegue,1,21819
4334,neste,0,21819
4335,nestier,1,21818
4336,pechelbronn,1,21817
4337,pechbusque,1,21816
4338,neufbourg,1,21815
4339,peault,1,21814
4340,peaule,1,21813
4341,peaugres,1,21812
4342,neufchateau,1,21811
4343,pierremesage,0,21811
4344,pierremesnil,0,21811
4345,moulineux,1,21810
4346,neufchatelbray,1,21809
4347,neufchatelsaosnois,1,21808
4348,peas,1,21807
4349,pierremezoargues,0,21807
4350,moulineaux,1,21806
4351,neufchef,1,21805
4352,peardet,0,21805
4353,pean,0,21805
4354,neufchelles,1,21804
4355,peageroussillon,1,21803
4356,neuffons,1,21802
4357,mouliherne,1,21801
4358,mouliets,0,21801
4359,pazy,1,21800
4360,neuffontaines,1,21799
4361,neufgrange,1,21798
4362,paziols,1,21797
4363,moulinot,0,21797
4364,neufbosc,1,21796
4365,pierremearoz,0,21796
4366,pebrac,1,21795
4367,pechbonnieu,1,21794
4368,pierrelorouer,0,21794
4369,pechaudier,1,21793
4370,pecharic,1,21792
4371,moulismes,1,21791
4372,nettancourt,1,21790
4373,pechabou,1,21789
4374,moulismedoc,1,21788
4375,neublans,0,21788
4376,neubois,1,21787
4377,moulis,1,21786
4378,neubourg,1,21785
4379,pebees,1,21784
4380,moulinstonnerrois,1,21783
4381,peboudou,0,21783
4382,moulinsmetz,1,21782
4383,neuchatel,0,21782
4384,pierremaille,0,21782
4385,pebigorre,0,21782
4386,pierremailloc,0,21782
4387,pierremande,1,21781
4388,moulinsmarche,1,21780
4389,moulinscarbonnel,1,21779
4390,pierremanneville,0,21779
4391,peleren,0,21779
4392,nery,1,21778
4393,mourenx,1,21777
4394,nerac,1,21776
4395,nemours,1,21775
4396,penneagenais,1,21774
4397,pennautier,1,21773
4398,nempont,0,21773
4399,pierrefiques,1,21772
4400,pierrefitteauge,1,21771
4401,nenigan,1,21770
4402,mourmelongrand,1,21769
4403,pierrefittebeauvaisis,1,21768
4404,pierrefittecinglais,1,21767
4405,penmarch,1,21766
4406,neomaye,0,21766
4407,mourjou,1,21765
4408,pierrefleurs,0,21765
4409,penly,1,21764
4410,neons,0,21764
4411,neoules,1,21763
4412,pierrefonds,1,21762
4413,neoux,1,21761
4414,nepvant,1,21760
4415,mourioux,1,21759
4416,penit,0,21759
4417,moutade,1,21758
4418,penguily,1,21757
4419,penfao,0,21757
4420,pennedepie,1,21756
4421,nelling,1,21755
4422,pennes,0,21755
4423,penol,1,21754
4424,pierrecour,0,21754
4425,pierrecoutances,0,21754
4426,pepieux,1,21753
4427,peone,1,21752
4428,pierrecurtille,0,21752
4429,pierreechaubrognes,0,21752
4430,penvenan,1,21751
4431,negrondes,1,21750
4432,penthies,0,21750
4433,mouroux,1,21749
4434,pensol,1,21748
4435,pierreelbeuf,0,21748
4436,pierrefeuvar,1,21747
4437,pierreetieux,0,21747
4438,pierreexideuil,0,21747
4439,mournede,1,21746
4440,nehou,1,21745
4441,pierreeyraud,0,21745
4442,mournans,1,21744
4443,pierrefaucigny,0,21744
4444,pennessec,1,21743
4445,pierrefeu,1,21742
4446,pennesieres,1,21741
4447,mourmelonpetit,1,21740
4448,pierrefontaineblamont,1,21739
4449,nerbis,1,21738
4450,pelissanne,1,21737
4451,penestin,1,21736
4452,pelussin,1,21735
4453,pierregot,1,21734
4454,peltre,1,21733
4455,pelousey,1,21732
4456,pelouse,1,21731
4457,pelonne,1,21730
4458,pellouaillesvignes,1,21729
4459,pierreirube,0,21729
4460,nersac,1,21728
4461,pierrejards,0,21728
4462,pellevoisin,1,21727
4463,pierrejonquet,0,21727
4464,pellerey,1,21726
4465,pierrejonquieres,0,21726
4466,pelleport,1,21725
4467,pierrejuillers,0,21725
4468,pellegrue,1,21724
4469,pellefigue,1,21723
4470,pelleautier,1,21722
4471,pierrejux,0,21722
4472,nervezain,1,21721
4473,nervieux,1,21720
4474,pellafol,1,21719
4475,nervilleforet,1,21718
4476,pierrel,0,21718
4477,nerpol,0,21718
4478,pierregenebroz,0,21718
4479,pierregarenne,0,21718
4480,nerisbains,1,21717
4481,pierrefontainevarans,1,21716
4482,pierrefort,1,21715
4483,mouriez,1,21714
4484,nercillac,1,21713
4485,pende,1,21712
4486,pencran,1,21711
4487,neret,1,21710
4488,nerigean,1,21709
4489,nerignac,1,21708
4490,mouries,1,21707
4491,pierrefranqueville,0,21707
4492,nernier,1,21706
4493,pelves,1,21705
4494,penchot,0,21705
4495,pierrefresne,0,21705
4496,moureze,1,21704
4497,pierrefrugie,0,21704
4498,pierrefursac,0,21704
4499,penchard,1,21703
4500,moureuille,1,21702
4501,pelvoux,1,21701
4502,neron,1,21700
4503,pelvey,0,21700
4504,nerondes,1,21699
4505,perigne,1,21698
4506,murtin,0,21698
4507,pierrebitry,0,21698
4508,petosse,1,21697
4509,naillat,1,21696
4510,pfaffenheim,1,21695
4511,nailloux,1,21694
4512,peujard,1,21693
4513,nailly,1,21692
4514,pettonville,1,21691
4515,naintre,1,21690
4516,nainvilleroches,1,21689
4517,pettoncourt,1,21688
4518,naiseygranges,1,21687
4519,petreto,1,21686
4520,muncq,0,21686
4521,naives,0,21686
4522,nahuja,1,21685
4523,neuflieux,1,21684
4524,munchhouse,1,21683
4525,petitville,0,21683
4526,petitmont,1,21682
4527,pfaffenhoffen,1,21681
4528,naivesblois,1,21680
4529,pfalzweyer,1,21679
4530,pfastatt,1,21678
4531,munchhausen,1,21677
4532,naixforges,1,21676
4533,petitmagny,1,21675
4534,munans,0,21675
4535,nailhac,1,21674
4536,pezy,1,21673
4537,mun,1,21672
4538,muneville,0,21672
4539,nabirat,1,21671
4540,pezens,1,21670
4541,pexine,0,21670
4542,pevy,1,21669
4543,pezerobert,1,21668
4544,pever,0,21668
4545,munevillebingard,1,21667
4546,pevange,1,21666
4547,nabringhen,1,21665
4548,nacey,0,21665
4549,nachamps,1,21664
4550,peux,0,21664
4551,pezillaconflent,1,21663
4552,pezuls,1,21662
4553,peuvillers,1,21661
4554,nacqueville,0,21661
4555,nadaillac,1,21660
4556,pezillariviere,1,21659
4557,pezou,1,21658
4558,munein,0,21658
4559,nadaillacrouge,1,21657
4560,peuplingues,1,21656
4561,mundolsheim,1,21655
4562,nades,1,21654
4563,nadillac,1,21653
4564,nagel,0,21653
4565,pfetterhouse,1,21652
4566,mulsans,1,21651
4567,moutaret,1,21650
4568,nancroix,0,21650
4569,phalsbourg,1,21649
4570,philbertbouaine,0,21649
4571,,0,21649
4572,nance,1,21648
4573,nances,1,21647
4574,nanclars,1,21646
4575,pessan,1,21645
4576,philbertchamps,0,21645
4577,philbertgrand,0,21645
4578,nancras,1,21644
4579,muille,0,21644
4580,philbertmauges,0,21644
4581,muids,1,21643
4582,nampty,1,21642
4583,nancsaint,0,21642
4584,muidorge,1,21641
4585,nancuise,1,21640
4586,muides,0,21640
4587,pesnel,0,21640
4588,philbertpeuple,0,21640
4589,pesmes,1,21639
4590,mugron,1,21638
4591,muespachhaut,1,21637
4592,nandax,1,21636
4593,nandy,1,21635
4594,nangeville,1,21634
4595,muirancourt,1,21633
4596,pessans,1,21632
4597,pfettisheim,1,21631
4598,phal,0,21631
4599,petitefontaine,1,21630
4600,mulsanne,1,21629
4601,naizin,1,21628
4602,pfulgriesheim,1,21627
4603,petersbach,1,21626
4604,phaffans,1,21625
4605,najac,1,21624
4606,mulhausen,1,21623
4607,pessoulens,1,21622
4608,nalzen,1,21621
4609,mulcey,1,21620
4610,mulcent,1,21619
4611,mulatre,0,21619
4612,pessat,0,21619
4613,nambsheim,1,21618
4614,nampcel,1,21617
4615,pessines,1,21616
4616,phalempin,1,21615
4617,mulatiere,1,21614
4618,nampcellescour,1,21613
4619,mujouls,1,21612
4620,pesse,1,21611
4621,nampont,1,21610
4622,namps,0,21610
4623,nampteuil,0,21610
4624,muizon,1,21609
4625,pexiora,1,21608
4626,pexonne,1,21607
4627,pey,1,21606
4628,peyroux,0,21606
4629,murinais,1,21605
4630,peyrollesprovence,1,21604
4631,peyroules,1,21603
4632,peyrouse,1,21602
4633,peyriacmer,1,21601
4634,murianette,1,21600
4635,murette,1,21599
4636,muretchateau,1,21598
4637,mures,1,21597
4638,musset,0,21597
4639,mussey,0,21597
4640,peyriac,0,21597
4641,mussidan,1,21596
4642,musieges,1,21595
4643,murelet,0,21595
4644,mussig,1,21594
4645,mureils,1,21593
4646,peyret,0,21593
4647,peyrestortes,1,21592
4648,mureaux,1,21591
4649,peyrepertuse,0,21591
4650,mureaumont,1,21590
4651,peyrouzet,1,21589
4652,peyrens,1,21588
4653,peyruis,1,21587
4654,peyrun,1,21586
4655,peyriat,1,21585
4656,musculdy,1,21584
4657,mung,1,21583
4658,murols,1,21582
4659,peyrole,1,21581
4660,mursologne,1,21580
4661,murvielbeziers,1,21579
4662,murvielmontpellier,1,21578
4663,peyrissas,1,21577
4664,peyrissac,1,21576
4665,peyrins,1,21575
4666,peyroles,1,21574
4667,peyrilles,1,21573
4668,peyrillac,0,21573
4669,muron,1,21572
4670,peyrilhac,1,21571
4671,murol,1,21570
4672,murles,1,21569
4673,peyriguere,1,21568
4674,peyrolles,1,21567
4675,murville,1,21566
4676,muro,1,21565
4677,peyrignac,1,21564
4678,mury,0,21564
4679,peyrieu,1,21563
4680,murlin,1,21562
4681,murzo,1,21561
4682,mus,1,21560
4683,peyriere,1,21559
4684,muscourt,1,21558
4685,peyremale,1,21557
4686,peyrelongue,0,21557
4687,peyrelevade,1,21556
4688,peypin,1,21555
4689,peyratchateau,1,21554
4690,murato,1,21553
4691,peyzacmoustier,1,21552
4692,peyratbellac,1,21551
4693,murasson,1,21550
4694,muzy,1,21549
4695,peyrat,1,21548
4696,peyzieux,0,21548
4697,peyrales,0,21548
4698,peyrabout,1,21547
4699,muracciole,1,21546
4700,peypinaigues,1,21545
4701,peynier,1,21544
4702,mureau,0,21544
4703,munwiller,1,21543
4704,pezarches,1,21542
4705,muntzenheim,1,21541
4706,myans,1,21540
4707,myennes,1,21539
4708,peymeinade,1,21538
4709,nabas,1,21537
4710,peycastets,0,21537
4711,pezenas,1,21536
4712,peyarmens,0,21536
4713,nabinaud,1,21535
4714,pezenesmines,1,21534
4715,peyssies,1,21533
4716,muzeray,1,21532
4717,muy,1,21531
4718,peyratnoniere,1,21530
4719,mussyfosse,1,21529
4720,peyreleau,1,21528
4721,murbretagne,1,21527
4722,peyrehorade,1,21526
4723,mutigney,1,21525
4724,peyrus,1,21524
4725,peyregoux,1,21523
4726,mutigny,1,21522
4727,mutrecy,1,21521
4728,mutry,1,21520
4729,peyrefitterazes,1,21519
4730,peyrefitte,0,21519
4731,peyrecave,1,21518
4732,murbarrez,1,21517
4733,murbach,1,21516
4734,muttersholtz,1,21515
4735,muraz,1,21514
4736,peyre,1,21513
4737,mutzenhouse,1,21512
4738,muratquaire,1,21511
4739,mutzig,1,21510
4740,peyrusseroc,1,21509
4741,peyraud,1,21508
4742,peyraube,1,21507
4743,peyratte,1,21506
4744,nangis,1,21505
4745,nangy,1,21504
4746,peslieres,1,21503
4747,nauphary,0,21503
4748,mouxy,1,21502
4749,peronnemelantois,1,21501
4750,naucelles,1,21500
4751,mouxmorvan,1,21499
4752,moux,1,21498
4753,piedipartino,1,21497
4754,naude,0,21497
4755,piedport,0,21497
4756,naudouin,1,21496
4757,murvaux,1,21495
4758,naujac,0,21495
4759,naujan,0,21495
4760,piegon,1,21494
4761,piedigriggio,1,21493
4762,piegrosclastre,1,21492
4763,peronnas,1,21491
4764,peron,1,21490
4765,moutrot,1,21489
4766,naussannes,1,21488
4767,nauvay,1,21487
4768,moutoux,1,21486
4769,pience,0,21486
4770,pero,0,21486
4771,pernois,1,21485
4772,moutonneau,1,21484
4773,nauviale,1,21483
4774,peronville,1,21482
4775,perouges,1,21481
4776,moyaux,1,21480
4777,natale,0,21480
4778,perreuil,1,21479
4779,perreon,1,21478
4780,picquigny,1,21477
4781,pied,0,21477
4782,moville,0,21477
4783,moval,1,21476
4784,perrecyforges,1,21475
4785,mouzillon,1,21474
4786,perrayyvelines,1,21473
4787,mouzeuil,0,21473
4788,perranceyvieux,0,21473
4789,piedborne,1,21472
4790,nathalene,0,21472
4791,naucelle,1,21471
4792,piedicorte,0,21471
4793,perquie,1,21470
4794,perques,1,21469
4795,perpezat,1,21468
4796,mouzeil,1,21467
