id,mot,contains,restant
295,marseille,8,27830
296,antoine,0,27830
297,bas,7,27823
298,verrieres,8,27815
299,loir,0,27815
300,felix,0,27815
301,verdon,2,27813
302,canche,0,27813
303,selles,4,27809
304,rouvres,3,27806
305,chaussee,4,27802
306,nogent,1,27801
307,tarn,0,27801
308,foret,3,27798
309,nied,0,27798
310,francheville,8,27790
311,debat,8,27782
312,armançon,0,27782
313,marche,2,27780
314,noyelles,1,27779
315,montegut,6,27773
316,montgaillard,6,27767
317,pierremont,1,27766
318,suzanne,2,27764
319,epinay,2,27762
320,bonneville,5,27757
321,lot,0,27757
322,montaut,8,27749
323,odon,0,27749
324,roque,4,27745
325,castillon,7,27738
326,cazaux,5,27733
327,trinite,7,27726
328,asnieres,1,27725
329,santa,3,27722
330,bray,4,27718
331,boutonne,2,27716
332,leonard,0,27716
333,arroux,0,27716
334,belle,3,27713
335,castera,8,27705
336,colombier,6,27699
337,besse,4,27695
338,scie,0,27695
339,mesmin,0,27695
340,coulonges,6,27689
341,eloi,0,27689
342,rouvray,4,27685
343,bretteville,2,27683
344,nicolas,0,27683
345,clery,2,27681
346,fay,4,27677
347,roc,1,27676
348,meurthe,0,27676
349,leon,1,27675
350,creuse,2,27673
351,hubert,1,27672
352,bruyeres,1,27671
353,lavalette,4,27667
354,rieux,5,27662
355,dieu,3,27659
356,chatenois,4,27655
357,andelle,0,27655
358,mans,7,27648
359,montesquieu,6,27642
360,sevre,0,27642
361,pardoux,0,27642
362,ile,5,27637
363,tilly,3,27634
364,braye,1,27633
365,bonneval,5,27628
366,marly,4,27624
367,rouffiac,7,27617
368,helene,0,27617
369,vert,5,27612
370,prades,6,27606
371,labarthe,5,27601
372,lys,3,27598
373,genevieve,0,27598
374,troyes,3,27595
375,surloir,6,27589
376,hague,5,27584
377,lille,5,27579
378,cirq,0,27579
379,juvigny,3,27576
380,apremont,6,27570
381,cure,0,27570
382,aulnay,3,27567
383,romagne,5,27562
384,campagne,4,27558
385,ourcq,0,27558
386,precy,1,27557
387,rochette,7,27550
388,oradour,4,27546
389,eulalie,0,27546
390,vernet,6,27540
391,auriac,5,27535
392,toulouse,6,27529
393,couture,5,27524
394,huisne,0,27524
395,sylvestre,0,27524
396,bastide,7,27517
397,noyal,3,27514
398,authie,2,27512
399,villefranche,2,27510
400,oust,2,27508
401,grosne,1,27507
402,molieres,6,27501
403,agnan,0,27501
404,marsac,4,27497
405,foy,0,27497
406,monts,4,27493
407,martinchamps,0,27493
408,vers,4,27489
409,village,2,27487
410,sambre,0,27487
411,maur,0,27487
412,boussac,5,27482
413,reyssouze,1,27481
414,laurentla,0,27481
415,fontenelle,6,27475
416,ballon,2,27473
417,hauterive,4,27469
418,monestier,5,27464
419,bazoches,3,27461
420,vence,1,27460
421,vielle,5,27455
422,longchamp,3,27452
