mot,score
dive,4
crocq,4
puget,4
simeon,4
surdoubs,4
entre,4
orb,4
hopital,4
beauregard,4
montaigu,4
prix,4
chatelet,4
gouy,4
etoile,4
beaurepaire,4
metz,4
vesle,4
villez,4
erdre,4
braux,4
morville,4
poggio,4
argenton,4
montagnac,4
terre,4
montaigut,4
artigues,4
belval,4
surognon,4
lyon,4
villy,4
naves,4
chavannes,4
boncourt,4
epagny,4
perigny,4
lucy,4
coise,4
boisset,4
marc,4
yon,4
poix,4
landes,4
sauldre,4
change,4
verdun,4
viry,4
trie,4
changy,4
argens,4
lespinasse,4
perrigny,4
montclar,4
jussy,4
poligny,4
roquefort,4
buchy,4
comps,4
chilly,4
cabanac,4
presles,4
vilaine,4
souvigne,4
chiers,4
guillaume,4
pouy,4
escaut,4
mance,4
matz,4
fons,4
bordeaux,4
conflans,4
claude,4
cap,4
salvetat,4
thuit,4
martigny,4
corbieres,4
gee,4
bayon,4
vallee,4
baume,4
arnoult,4
soubiran,4
chalais,4
madon,4
beuvron,4
fargues,4
charmont,4
marnay,4
salle,4
sornin,4
torcy,4
ain,4
fontanes,4
eglises,4
aigremont,4
vallon,4
salins,4
vieil,4
thouarsais,4
thury,4
essarts,4
lay,4
bouy,4
livry,4
arques,4
sebastien,4
françois,4
rennes,4
barbuise,4
montpezat,4
valence,4
gennes,4
ars,4
lacroix,4
ornain,4
hem,4
selve,4
gartempe,4
savignac,4
plaisance,4
crespin,4
coole,4
viel,4
amans,4
aix,4
felines,4
orville,4
toulon,4
romilly,4
seiche,4
baron,4
marignac,4
barse,4
pleine,3
borderes,3
bonnieres,3
auxon,3
muret,3
goupillieres,3
tournon,3
montreal,3
murs,3
renneville,3
pressigny,3
cuverville,3
caprais,3
lapeyrouse,3
auban,3
fiumorbo,3
paroy,3
roquebrune,3
fayel,3
cisse,3
arros,3
fiacre,3
frechet,3
rognon,3
doubs,3
gaillon,3
sassey,3
avold,3
reine,3
poilly,3
aubigne,3
vincelles,3
cecile,3
maisoncelle,3
maumusson,3
clocher,3
durban,3
montpeyroux,3
allonnes,3
helpe,3
beauvais,3
valouse,3
gigny,3
temple,3
pierrevieux,3
othain,3
loue,3
bonnevaux,3
crepin,3
villierssec,3
bonneuil,3
vennes,3
magnoac,3
gros,3
avesnes,3
tilloy,3
labatut,3
chatelard,3
manneville,3
noiron,3
bully,3
grandes,3
durfort,3
auge,3
